index,Publishing Year,Book_average_rating,Book_ratings_count,gross sales,publisher revenue,sale price,sales rank,units sold,Popularitas_Buku
0,1975.0,3.42,155903,3161.19625,1802.9512499999998,4.88,1,7000.0,0
1,1987.0,4.23,145267,3161.19625,1802.9512499999998,1.99,2,6250.0,1
2,2015.0,3.31,138669,3161.19625,1802.9512499999998,8.69,3,5500.0,0
3,2008.0,4.04,150898,3161.19625,1802.9512499999998,7.5,3,5500.0,1
4,2011.0,4.04,198283,3161.19625,1802.9512499999998,7.99,4,4750.0,1
5,2015.0,4.08,83354,3161.19625,0.0,4.99,5,4000.0,1
6,2011.0,4.03,155977,3161.19625,1802.9512499999998,6.99,6,3933.0,1
7,1994.0,3.9,167997,3161.19625,1802.9512499999998,6.89,8,3800.0,1
8,2012.0,4.34,189938,3161.19625,1802.9512499999998,6.99,9,3733.0,1
9,1947.5,4.2,199872,3161.19625,1802.9512499999998,6.49,10,3666.0,1
10,2004.0,4.13,179415,3161.19625,0.0,4.99,11,3600.0,1
11,1954.0,3.9,189671,3161.19625,1802.9512499999998,5.99,11,3600.0,1
12,2010.0,4.42,206792,3161.19625,0.0,0.99,13,3466.0,1
13,1947.5,4.18,195424,3161.19625,1802.9512499999998,1.99,13,3466.0,1
14,1947.5,4.29,173469,3161.19625,1802.9512499999998,6.54,15,3333.0,1
15,1974.0,3.76,139411,3161.19625,0.0,4.99,16,3266.0,1
16,1947.5,3.8,159752,3161.19625,0.0,4.99,17,3200.0,1
17,2006.0,3.9,156328,3161.19625,0.0,4.99,17,3200.0,1
18,1948.0,4.28,160860,3161.19625,1802.9512499999998,1.99,18,3133.0,1
19,2006.0,4.17,133271,3035.34,0.0,0.99,19,3066.0,1
20,2013.0,3.74,138454,3161.19625,0.0,3.99,21,2933.0,1
21,2000.0,4.1,142092,3161.19625,0.0,2.99,22,2866.0,1
22,1991.0,3.87,153821,2772.0,0.0,0.99,23,2800.0,1
23,1993.0,4.38,157395,3161.19625,0.0,2.99,24,2733.0,1
24,1996.0,4.12,156869,2639.34,1583.604,0.99,25,2666.0,1
25,1981.0,3.65,158215,3161.19625,0.0,2.99,26,2600.0,1
26,1993.0,3.83,159249,3161.19625,1802.9512499999998,10.91,28,2466.0,1
27,2004.0,4.13,199572,2376.0,0.0,0.99,29,2400.0,1
28,1947.5,3.77,171599,3161.19625,1802.9512499999998,3.99,29,2400.0,1
29,1947.5,3.64,158877,3161.19625,0.0,3.99,30,2333.0,1
30,1961.0,4.22,178432,3161.19625,0.0,1.99,31,2266.0,1
31,2010.0,4.64,144822,2178.0,0.0,0.99,32,2200.0,1
32,2003.0,4.03,181323,3161.19625,1802.9512499999998,5.99,32,2200.0,1
33,2006.0,4.14,161001,2045.34,1227.204,0.99,34,2066.0,1
34,2007.0,4.35,150736,3161.19625,1802.9512499999998,8.99,35,2000.0,1
35,2015.0,3.7,99342,1964.16,0.0,0.99,36,1984.0,1
36,2011.0,4.07,140076,1964.16,1178.496,0.99,36,1984.0,1
37,1986.0,4.25,135979,1949.31,0.0,0.99,37,1969.0,1
38,2005.0,4.08,172302,1949.31,0.0,0.99,37,1969.0,1
39,1995.0,3.94,134849,3161.19625,1802.9512499999998,10.65,41,1907.0,1
40,2003.0,4.14,136427,1873.08,0.0,0.99,42,1892.0,1
41,2003.0,4.0,151500,3161.19625,0.0,3.99,43,1876.0,1
42,1998.0,3.52,113915,3161.19625,1802.9512499999998,1.99,44,1861.0,1
43,2000.0,4.0,134177,3161.19625,1802.9512499999998,5.99,45,1846.0,1
44,1999.0,3.83,148563,3161.19625,1802.9512499999998,6.99,46,1830.0,1
45,1947.5,3.76,151471,3161.19625,0.0,4.99,48,1800.0,1
46,1975.0,3.85,174280,3161.19625,1802.9512499999998,1.99,48,1800.0,1
47,1983.0,3.72,151160,1766.16,1059.696,0.99,49,1784.0,1
48,1960.0,4.16,174204,3161.19625,1802.9512499999998,5.99,50,1769.0,1
49,1950.0,3.83,164708,3161.19625,1802.9512499999998,8.59,51,1753.0,1
50,2013.0,4.3,193766,1720.62,1032.372,0.99,52,1738.0,1
51,1997.0,3.95,153764,1705.77,1023.462,0.99,53,1723.0,1
52,2011.0,4.16,190722,3161.19625,0.0,4.99,54,1707.0,1
53,2009.0,3.47,147908,1675.08,1005.048,0.99,55,1692.0,0
54,2004.0,4.42,139501,3161.19625,0.0,3.99,56,1676.0,1
55,2003.0,3.79,173613,3161.19625,1802.9512499999998,2.99,57,1661.0,1
56,2002.0,3.9,131492,1629.54,977.724,0.99,58,1646.0,1
57,1986.0,4.09,142168,3161.19625,1802.9512499999998,10.91,59,1630.0,1
58,2012.0,4.11,133937,1613.7,0.0,0.99,59,1630.0,1
59,1947.5,3.96,150512,3161.19625,1802.9512499999998,11.39,60,1615.0,1
60,2007.0,4.11,160607,3161.19625,1802.9512499999998,6.49,61,1600.0,1
61,1967.0,4.32,131389,3161.19625,0.0,3.99,62,1584.0,1
62,1968.0,3.99,155042,3161.19625,0.0,3.0,63,1569.0,1
63,2000.0,4.0,154476,1522.62,0.0,0.99,65,1538.0,1
64,1959.0,3.56,155901,3161.19625,0.0,3.89,66,1523.0,1
65,1995.0,3.91,137412,3161.19625,0.0,7.99,67,1507.0,1
66,1947.5,3.85,134931,3161.19625,1802.9512499999998,8.99,68,1492.0,1
67,1995.0,4.14,132777,2907.39,0.0,1.99,70,1461.0,1
68,1980.0,4.22,153838,3161.19625,1802.9512499999998,7.99,71,1446.0,1
69,2010.0,3.89,174393,3161.19625,0.0,3.99,72,1430.0,1
70,1947.5,4.17,162373,3161.19625,1802.9512499999998,6.99,73,1415.0,1
71,1953.0,3.95,170453,3161.19625,1802.9512499999998,3.79,75,1384.0,1
72,2008.0,4.46,143622,3161.19625,1802.9512499999998,4.21,75,1384.0,1
73,1993.0,3.9,145161,2724.31,1634.586,1.99,76,1369.0,1
74,2007.0,3.85,127096,3161.19625,1802.9512499999998,3.99,76,1369.0,1
75,1970.0,3.8,133728,3161.19625,0.0,4.99,77,1353.0,1
76,2014.0,4.48,177796,3161.19625,0.0,4.99,78,1338.0,1
77,1986.0,4.34,159703,1309.77,785.862,0.99,79,1323.0,1
78,2006.0,3.64,144591,3161.19625,1802.9512499999998,4.54,80,1307.0,1
79,2013.0,4.32,113565,3161.19625,1802.9512499999998,6.49,80,1307.0,1
80,1977.0,3.87,134106,3161.19625,1802.9512499999998,4.99,81,1292.0,1
81,1987.0,4.23,139052,2539.24,1523.544,1.99,82,1276.0,1
82,2008.0,4.12,138377,3161.19625,0.0,3.99,85,1230.0,1
